"pAge","pGender","pIMDquintile","state","pCohort","pEducationalLevel","pSEP","pRegion","pSocialHousing","pMentalHealthCondition","pAlcoholConsumption","pNRTUse","pYearsSinceQuit","pExpenditure","pECigUse","pVareniclineUse","pCigConsumptionPrequit","cAge","oAge","mAge","mGender","oEducationalLevel","oSEP","oGeographicLocality","oSocialHousing","cMentalHealthConditions","cAlcoholConsumption","oAlcoholConsumption","cPrescriptionNRT","mUseOfNRT","cEcigaretteUse","cCigConsumptionPrequit","mSpendingOnCig","cVareniclineUse","cCigAddictStrength","mEnjoymentOfSmoking","cUseOfBehaviourSupport","mIntentionToQuit","mDesireToStopSmoking","mNumberOfRecentQuitAttempts","mSmokerIdentity"
29,2,1,"never_smoker",17,1,1,1,2,NA,5,NA,NA,70,1,1,40,29,29,29,2,1,1,1,2,NA,5,5,NA,NA,1,40,70,1,4,NA,"1",1,1,0,-1
41,1,2,"never_smoker",15,2,1,1,4,NA,9,NA,NA,43,2,2,5,41,41,41,1,2,1,1,4,NA,9,9,NA,NA,2,5,43,2,2,NA,"1",2,2,10,1
32,2,2,"never_smoker",16,1,1,1,2,0,8,NA,NA,5,1,1,50,32,32,32,2,1,1,1,2,0,8,8,NA,NA,2,50,5,1,1,NA,"1",2,1,1,-1
39,1,2,"never_smoker",15,1,1,1,2,1,11,NA,NA,27,1,1,30,39,39,39,1,1,1,1,2,1,11,11,NA,NA,2,30,27,1,6,NA,"0",2,1,1,2
49,1,2,"never_smoker",13,7,3,1,1,0,4,NA,NA,20,1,1,27,49,49,49,1,7,3,1,1,0,4,4,NA,NA,1,27,20,1,1,NA,"0",1,2,20,-1
53,2,2,"never_smoker",11,7,3,1,1,0,3,NA,NA,56,2,2,8,53,53,53,2,7,3,1,1,0,3,3,NA,NA,1,8,56,2,4,NA,"1",1,2,10,-1
32,2,1,"smoker",16,3,2,1,2,NA,5,NA,NA,3,1,2,45,32,32,32,2,3,2,1,2,NA,5,5,NA,NA,1,45,3,2,6,NA,"0",1,1,7,-1
42,2,1,"never_smoker",14,3,2,1,4,NA,1,NA,NA,54,2,1,13,42,42,42,2,3,2,1,4,NA,1,1,NA,NA,1,13,54,1,2,NA,"0",1,2,5,2
17,1,1,"never_smoker",19,3,99,1,4,NA,1,NA,NA,200,2,1,1.14285714285714,17,17,17,1,3,99,1,4,NA,1,1,NA,NA,1,1,200,1,2,NA,"0",1,2,1,1
71,2,2,"never_smoker",9,7,2,1,1,NA,2,NA,NA,19,1,1,2,71,71,71,2,7,2,1,1,NA,2,2,NA,NA,1,2,19,1,6,NA,"0",2,1,9,1
75,1,2,"never_smoker",7,7,1,1,1,NA,2,NA,NA,29,1,1,24,75,75,75,1,7,1,1,1,NA,2,2,NA,NA,2,24,29,1,5,NA,"0",2,2,5,1
51,2,1,"never_smoker",13,2,2,1,2,0,5,NA,NA,200,1,1,60,51,51,51,2,2,2,1,2,0,5,5,NA,NA,1,60,200,1,3,NA,"0",1,2,12,-1
25,1,4,"never_smoker",17,2,3,4,4,NA,5,NA,NA,120,2,2,2.42857142857143,25,25,25,1,2,3,4,4,NA,5,5,NA,NA,2,2,120,2,5,NA,"0",2,2,9,-1
22,2,4,"never_smoker",18,7,3,4,4,NA,1,NA,NA,76,2,1,6.71428571428571,22,22,22,2,7,3,4,4,NA,1,1,NA,NA,1,6,76,1,5,NA,"1",2,2,3,1
81,2,4,"never_smoker",7,7,2,4,4,0,5,NA,NA,1,2,1,5.71428571428571,81,81,81,2,7,2,4,4,0,5,5,NA,NA,1,5,1,1,6,NA,"0",2,1,9,1
70,1,4,"never_smoker",9,7,2,4,1,0,1,NA,NA,56,1,2,17,70,70,70,1,7,2,4,1,0,1,1,NA,NA,2,17,56,2,1,NA,"1",1,2,8,-1
68,2,4,"never_smoker",9,7,2,4,1,0,1,NA,NA,101,1,1,2.85714285714286,68,68,68,2,7,2,4,1,0,1,1,NA,NA,2,2,101,1,3,NA,"0",2,2,6,-1
31,1,4,"never_smoker",17,1,3,4,4,NA,5,NA,NA,7,2,2,11,31,31,31,1,1,3,4,4,NA,5,5,NA,NA,2,11,7,2,3,NA,"0",1,1,7,-1
69,1,4,"smoker",9,7,3,4,4,0,2,NA,NA,29,1,1,2.57142857142857,69,69,69,1,7,3,4,4,0,2,2,NA,NA,2,2,29,1,3,NA,"1",2,1,3,2
62,2,4,"smoker",10,2,3,4,1,0,2,NA,NA,23,1,2,15,62,62,62,2,2,3,4,1,0,2,2,NA,NA,1,15,23,2,1,NA,"1",1,2,6,-1
57,2,2,"never_smoker",11,7,2,6,4,0,1,NA,NA,7,1,1,45,57,57,57,2,7,2,6,4,0,1,1,NA,NA,1,45,7,1,4,NA,"0",2,1,4,-1
29,2,1,"never_smoker",17,1,2,6,2,NA,7,NA,NA,9998,2,2,3.42857142857143,29,29,29,2,1,2,6,2,NA,7,7,NA,NA,2,3,9998,2,4,NA,"0",1,2,9,-1
65,1,1,"never_smoker",9,4,1,6,1,0,4,NA,NA,21,1,1,10,65,65,65,1,4,1,6,1,0,4,4,NA,NA,2,10,21,1,5,NA,"1",1,1,2,2
62,2,1,"never_smoker",10,7,3,6,1,NA,4,NA,NA,65,2,2,0.285714285714286,62,62,62,2,7,3,6,1,NA,4,4,NA,NA,2,0,65,2,2,NA,"1",1,1,8,1
44,1,2,"never_smoker",13,1,1,6,4,1,8,NA,NA,72,2,2,8,44,44,44,1,1,1,6,4,1,8,8,NA,NA,2,8,72,2,2,NA,"1",1,2,1,-1
37,1,2,"never_smoker",15,2,3,6,2,NA,6,NA,NA,30,1,2,57.1428571428571,37,37,37,1,2,3,6,2,NA,6,6,NA,NA,2,57,30,2,4,NA,"1",1,1,8,2
27,2,1,"never_smoker",17,3,2,6,4,NA,5,NA,NA,160,1,2,39,27,27,27,2,3,2,6,4,NA,5,5,NA,NA,2,39,160,2,5,NA,"1",1,1,0,-1
32,1,1,"never_smoker",16,1,1,6,4,NA,5,NA,NA,45,1,2,30,32,32,32,1,1,1,6,4,NA,5,5,NA,NA,1,30,45,2,4,NA,"1",1,2,12,1
41,2,1,"never_smoker",15,3,3,6,2,NA,5,NA,NA,21,2,2,17,41,41,41,2,3,3,6,2,NA,5,5,NA,NA,2,17,21,2,2,NA,"1",1,2,4,-1
61,1,2,"never_smoker",11,1,NA,6,2,0,5,NA,NA,45,1,2,28.5714285714286,61,61,61,1,1,NA,6,2,0,5,5,NA,NA,1,28,45,2,2,NA,"1",1,1,7,-1
51,2,2,"never_smoker",13,1,1,6,2,0,5,NA,NA,62,1,2,5.71428571428571,51,51,51,2,1,1,6,2,0,5,5,NA,NA,1,5,62,2,2,NA,"0",1,2,20,1
74,2,2,"never_smoker",7,1,1,6,1,NA,NA,NA,NA,33,2,2,50,74,74,74,2,1,1,6,1,NA,NA,NA,NA,NA,1,50,33,2,4,NA,"1",2,1,20,-1
44,1,4,"smoker",13,4,NA,2,4,1,12,NA,NA,47,1,1,10,44,44,44,1,4,NA,2,4,1,12,12,NA,NA,1,10,47,1,6,NA,"1",2,1,7,-1
35,1,4,"smoker",15,1,1,2,2,NA,5,NA,NA,12,2,1,7,35,35,35,1,1,1,2,2,NA,5,5,NA,NA,2,7,12,1,1,NA,"0",1,2,4,-1
80,2,3,"never_smoker",7,7,2,2,1,0,4,NA,NA,105,2,1,0.285714285714286,80,80,80,2,7,2,2,1,0,4,4,NA,NA,1,0,105,1,4,NA,"0",1,2,0,2
28,2,4,"never_smoker",17,3,2,2,2,0,5,NA,NA,34,1,1,2.42857142857143,28,28,28,2,3,2,2,2,0,5,5,NA,NA,1,2,34,1,3,NA,"1",2,1,9,-1
30,1,4,"never_smoker",17,7,3,2,2,NA,8,NA,NA,23,2,2,33,30,30,30,1,7,3,2,2,NA,8,8,NA,NA,2,33,23,2,1,NA,"1",1,1,12,-1
80,2,4,"never_smoker",7,7,3,2,4,0,3,NA,NA,20,2,1,7.14285714285714,80,80,80,2,7,3,2,4,0,3,3,NA,NA,1,7,20,1,3,NA,"1",1,2,20,2
72,1,4,"never_smoker",8,7,3,2,1,0,5,NA,NA,1,2,2,28.5714285714286,72,72,72,1,7,3,2,1,0,5,5,NA,NA,2,28,1,2,2,NA,"0",1,1,6,2
38,2,4,"never_smoker",15,1,1,2,2,NA,5,NA,NA,19,1,2,0.285714285714286,38,38,38,2,1,1,2,2,NA,5,5,NA,NA,1,0,19,2,2,NA,"0",1,2,52,2
73,2,4,"smoker",7,7,3,2,4,0,1,NA,NA,46,1,1,3.57142857142857,73,73,73,2,7,3,2,4,0,1,1,NA,NA,1,3,46,1,1,NA,"1",1,1,4,2
51,2,2,"never_smoker",13,5,3,4,1,0,6,NA,NA,50,1,1,3.42857142857143,51,51,51,2,5,3,4,1,0,6,6,NA,NA,2,3,50,1,2,NA,"1",2,2,10,1
43,2,2,"never_smoker",13,5,3,4,4,0,5,NA,NA,4,2,2,15,43,43,43,2,5,3,4,4,0,5,5,NA,NA,1,15,4,2,5,NA,"1",1,2,2,2
54,2,2,"smoker",11,7,3,4,4,0,2,NA,NA,86,1,2,2.85714285714286,54,54,54,2,7,3,4,4,0,2,2,NA,NA,2,2,86,2,5,NA,"1",2,1,12,1
84,2,2,"smoker",5,7,1,4,4,0,2,NA,NA,65,2,2,2,84,84,84,2,7,1,4,4,0,2,2,NA,NA,2,2,65,2,6,NA,"1",1,1,9,-1
70,1,2,"never_smoker",9,2,1,4,1,NA,4,NA,NA,48,1,2,1.71428571428571,70,70,70,1,2,1,4,1,NA,4,4,NA,NA,2,1,48,2,6,NA,"0",1,1,5,-1
25,1,2,"never_smoker",17,3,3,4,2,0,5,NA,NA,29,2,2,0.2,25,25,25,1,3,3,4,2,0,5,5,NA,NA,1,0,29,2,1,NA,"0",2,2,52,1
23,2,2,"never_smoker",17,2,3,4,2,0,5,NA,NA,3,1,1,1.42857142857143,23,23,23,2,2,3,4,2,0,5,5,NA,NA,2,1,3,1,6,NA,"1",1,2,1,-1
45,2,2,"never_smoker",13,1,2,4,2,NA,8,NA,NA,57,1,2,9,45,45,45,2,1,2,4,2,NA,8,8,NA,NA,2,9,57,2,1,NA,"1",1,1,9,2
16,2,2,"never_smoker",19,7,99,4,2,NA,NA,NA,NA,43,1,1,14,16,16,16,2,7,99,4,2,NA,NA,NA,NA,NA,2,14,43,1,4,NA,"1",2,2,0,2
47,2,1,"never_smoker",13,1,1,7,1,0,5,NA,NA,13,2,1,2.42857142857143,47,47,47,2,1,1,7,1,0,5,5,NA,NA,2,2,13,1,1,NA,"1",2,1,20,2
28,2,3,"never_smoker",17,1,1,7,4,NA,4,NA,NA,31,1,2,17.8571428571429,28,28,28,2,1,1,7,4,NA,4,4,NA,NA,1,17,31,2,1,NA,"0",1,2,20,1
31,1,3,"never_smoker",17,1,1,7,4,NA,5,NA,NA,120,1,1,55,31,31,31,1,1,1,7,4,NA,5,5,NA,NA,1,55,120,1,2,NA,"0",1,2,6,2
89,2,2,"never_smoker",5,2,1,7,1,0,4,NA,NA,1,1,1,11,89,89,89,2,2,1,7,1,0,4,4,NA,NA,2,11,1,1,3,NA,"1",2,2,3,-1
52,2,1,"never_smoker",12,3,1,7,2,NA,9,NA,NA,29,2,1,5.71428571428571,52,52,52,2,3,1,7,2,NA,9,9,NA,NA,1,5,29,1,1,NA,"0",2,1,6,-1
53,1,1,"never_smoker",11,3,1,7,2,0,2,NA,NA,8,1,1,17,53,53,53,1,3,1,7,2,0,2,2,NA,NA,1,17,8,1,2,NA,"0",1,2,52,2
18,1,1,"never_smoker",19,3,1,7,2,NA,NA,NA,NA,44,1,1,11,18,18,18,1,3,1,7,2,NA,NA,NA,NA,NA,2,11,44,1,4,NA,"1",2,1,52,-1
82,2,1,"never_smoker",6,4,2,7,1,0,5,NA,NA,54,1,1,40,82,82,82,2,4,2,7,1,0,5,5,NA,NA,1,40,54,1,3,NA,"1",2,2,20,-1
89,2,1,"never_smoker",5,4,3,7,1,0,3,NA,NA,22,1,1,2.85714285714286,89,89,89,2,4,3,7,1,0,3,3,NA,NA,1,2,22,1,1,NA,"0",1,1,20,1
25,1,3,"never_smoker",17,7,3,2,4,NA,5,NA,NA,41,1,2,12,25,25,25,1,7,3,2,4,NA,5,5,NA,NA,1,12,41,2,6,NA,"1",2,2,3,2
40,2,3,"smoker",15,3,1,2,4,NA,6,NA,NA,18,1,2,28,40,40,40,2,3,1,2,4,NA,6,6,NA,NA,1,28,18,2,2,NA,"1",1,2,20,2
42,1,3,"smoker",14,2,3,2,4,NA,6,NA,NA,77,1,1,12,42,42,42,1,2,3,2,4,NA,6,6,NA,NA,2,12,77,1,4,NA,"0",2,1,52,-1
57,1,2,"never_smoker",11,2,1,2,1,0,5,NA,NA,15,2,1,14,57,57,57,1,2,1,2,1,0,5,5,NA,NA,1,14,15,1,6,NA,"1",2,2,2,1
29,1,2,"never_smoker",17,3,2,2,1,NA,6,NA,NA,130,1,2,12,29,29,29,1,3,2,2,1,NA,6,6,NA,NA,2,12,130,2,4,NA,"0",1,2,12,-1
75,1,4,"never_smoker",7,7,3,2,1,NA,5,NA,NA,40,1,1,40,75,75,75,1,7,3,2,1,NA,5,5,NA,NA,1,40,40,1,3,NA,"0",2,2,52,1
67,2,2,"never_smoker",9,4,3,2,1,0,6,NA,NA,55,1,2,60,67,67,67,2,4,3,2,1,0,6,6,NA,NA,2,60,55,2,6,NA,"0",1,2,4,2
55,1,3,"never_smoker",11,7,3,2,1,0,4,NA,NA,29,1,2,57.1428571428571,55,55,55,1,7,3,2,1,0,4,4,NA,NA,2,57,29,2,2,NA,"0",2,2,20,2
29,1,3,"never_smoker",17,4,3,2,1,NA,9,NA,NA,90,1,2,0.714285714285714,29,29,29,1,4,3,2,1,NA,9,9,NA,NA,2,0,90,2,2,NA,"1",1,1,9,2
78,2,2,"never_smoker",7,3,3,2,1,NA,5,NA,NA,62,1,1,0.428571428571429,78,78,78,2,3,3,2,1,NA,5,5,NA,NA,1,0,62,1,1,NA,"1",1,1,4,1
72,2,3,"smoker",8,6,2,2,4,0,7,NA,NA,35,1,2,2.14285714285714,72,72,72,2,6,2,2,4,0,7,7,NA,NA,1,2,35,2,1,NA,"0",2,1,0,1
77,2,4,"never_smoker",7,7,3,5,4,0,2,NA,NA,70,2,2,0,77,77,77,2,7,3,5,4,0,2,2,NA,NA,2,0,70,2,1,NA,"0",2,2,5,1
38,1,5,"never_smoker",15,1,3,5,2,1,6,NA,NA,2,1,2,17.8571428571429,38,38,38,1,1,3,5,2,1,6,6,NA,NA,1,17,2,2,5,NA,"1",1,1,9,2
38,2,5,"never_smoker",15,7,3,5,2,NA,5,NA,NA,43,1,2,24,38,38,38,2,7,3,5,2,NA,5,5,NA,NA,2,24,43,2,2,NA,"0",2,1,1,1
58,2,4,"never_smoker",11,4,1,5,1,0,10,NA,NA,54,1,2,1,58,58,58,2,4,1,5,1,0,10,10,NA,NA,2,1,54,2,4,NA,"1",1,2,5,1
34,1,4,"smoker",15,5,3,5,1,NA,2,NA,NA,90,2,1,17.8571428571429,34,34,34,1,5,3,5,1,NA,2,2,NA,NA,2,17,90,1,4,NA,"0",1,2,7,1
43,2,4,"never_smoker",13,2,1,5,2,0,5,NA,NA,86,1,1,1,43,43,43,2,2,1,5,2,0,5,5,NA,NA,1,1,86,1,2,NA,"1",1,1,8,1
45,1,4,"never_smoker",13,3,1,5,2,NA,4,NA,NA,30,2,2,14,45,45,45,1,3,1,5,2,NA,4,4,NA,NA,2,14,30,2,5,NA,"1",2,1,1,-1
39,1,4,"smoker",15,3,1,5,1,0,12,NA,NA,55,1,1,0,39,39,39,1,3,1,5,1,0,12,12,NA,NA,1,0,55,1,4,NA,"1",2,1,52,1
23,2,4,"smoker",17,4,2,5,4,NA,2,NA,NA,26,2,1,5,23,23,23,2,4,2,5,4,NA,2,2,NA,NA,1,5,26,1,5,NA,"1",2,1,3,-1
29,2,4,"smoker",17,4,2,5,4,NA,5,NA,NA,56,2,1,0.285714285714286,29,29,29,2,4,2,5,4,NA,5,5,NA,NA,2,0,56,1,2,NA,"0",1,2,2,2
45,2,3,"never_smoker",13,4,99,5,1,0,2,NA,NA,120,1,1,14.2857142857143,45,45,45,2,4,99,5,1,0,2,2,NA,NA,1,14,120,1,4,NA,"0",1,1,8,2
46,2,5,"never_smoker",13,2,1,4,2,NA,6,NA,NA,101,2,2,12,46,46,46,2,2,1,4,2,NA,6,6,NA,NA,1,12,101,2,5,NA,"1",1,1,12,1
19,1,5,"never_smoker",19,3,3,4,2,NA,1,NA,NA,33,1,2,10,19,19,19,1,3,3,4,2,NA,1,1,NA,NA,1,10,33,2,5,NA,"0",2,2,6,2
22,1,2,"never_smoker",18,1,1,4,2,1,5,NA,NA,29,1,2,8,22,22,22,1,1,1,4,2,1,5,5,NA,NA,2,8,29,2,1,NA,"1",2,2,5,1
60,2,5,"never_smoker",11,7,3,4,4,1,2,NA,NA,37,2,2,39,60,60,60,2,7,3,4,4,1,2,2,NA,NA,1,39,37,2,3,NA,"0",1,1,8,-1
57,2,5,"never_smoker",11,4,3,4,2,0,5,NA,NA,72,2,2,0.714285714285714,57,57,57,2,4,3,4,2,0,5,5,NA,NA,2,0,72,2,3,NA,"1",1,1,4,-1
21,2,3,"smoker",19,3,3,4,2,NA,10,NA,NA,47,2,2,23,21,21,21,2,3,3,4,2,NA,10,10,NA,NA,1,23,47,2,2,NA,"1",2,1,6,-1
53,2,3,"smoker",11,4,3,4,1,1,6,NA,NA,86,2,1,7.85714285714286,53,53,53,2,4,3,4,1,1,6,6,NA,NA,2,7,86,1,4,NA,"1",2,2,4,2
16,1,3,"smoker",19,7,99,4,1,0,NA,NA,NA,14,1,2,18.5714285714286,16,16,16,1,7,99,4,1,0,NA,NA,NA,NA,2,18,14,2,5,NA,"0",2,2,0,1
55,1,5,"smoker",11,2,1,4,4,1,4,NA,NA,77,1,1,8,55,55,55,1,2,1,4,4,1,4,4,NA,NA,1,8,77,1,2,NA,"1",2,2,0,-1
43,1,2,"never_smoker",13,4,3,9,2,0,12,NA,NA,33,1,2,24,43,43,43,1,4,3,9,2,0,12,12,NA,NA,1,24,33,2,1,NA,"1",2,2,20,-1
86,2,3,"never_smoker",5,7,3,9,1,0,1,NA,NA,76,1,1,15,86,86,86,2,7,3,9,1,0,1,1,NA,NA,1,15,76,1,1,NA,"1",2,1,4,2
24,1,4,"never_smoker",17,3,2,9,4,NA,6,NA,NA,60,1,2,7.14285714285714,24,24,24,1,3,2,9,4,NA,6,6,NA,NA,1,7,60,2,5,NA,"1",2,2,6,1
23,2,4,"never_smoker",17,1,1,9,4,NA,7,NA,NA,5,2,1,14,23,23,23,2,1,1,9,4,NA,7,7,NA,NA,1,14,5,1,3,NA,"0",1,1,0,-1
69,1,3,"never_smoker",9,4,2,9,1,NA,7,NA,NA,36,2,2,0.142857142857143,69,69,69,1,4,2,9,1,NA,7,7,NA,NA,2,0,36,2,2,NA,"1",1,2,4,-1
71,2,3,"smoker",9,2,1,9,1,0,11,NA,NA,40,2,2,0,71,71,71,2,2,1,9,1,0,11,11,NA,NA,2,0,40,2,4,NA,"1",1,1,12,1
55,1,2,"smoker",11,1,1,9,2,0,9,NA,NA,200,2,1,0.666666666666667,55,55,55,1,1,1,9,2,0,9,9,NA,NA,2,0,200,1,5,NA,"1",2,2,52,2
75,1,4,"never_smoker",7,4,1,9,1,NA,1,NA,NA,6,2,2,23,75,75,75,1,4,1,9,1,NA,1,1,NA,NA,1,23,6,2,4,NA,"1",2,2,52,1
71,2,4,"never_smoker",9,7,2,9,1,NA,1,NA,NA,33,1,2,0.142857142857143,71,71,71,2,7,2,9,1,NA,1,1,NA,NA,1,0,33,2,6,NA,"1",2,2,8,-1
78,2,4,"never_smoker",7,7,3,9,1,0,4,NA,NA,42,1,1,39,78,78,78,2,7,3,9,1,0,4,4,NA,NA,2,39,42,1,2,NA,"1",1,1,10,1
48,2,4,"never_smoker",13,4,3,9,1,0,4,NA,NA,16,2,1,11,48,48,48,2,4,3,9,1,0,4,4,NA,NA,2,11,16,1,3,NA,"0",1,1,20,1
31,2,4,"never_smoker",17,1,1,2,4,1,2,NA,NA,43,2,2,28.5714285714286,31,31,31,2,1,1,2,4,1,2,2,NA,NA,1,28,43,2,5,NA,"0",1,1,6,-1
81,2,4,"never_smoker",7,7,3,2,4,0,4,NA,NA,19,2,1,0.666666666666667,81,81,81,2,7,3,2,4,0,4,4,NA,NA,2,0,19,1,5,NA,"1",1,2,7,2
74,2,2,"never_smoker",7,7,99,8,1,0,4,NA,NA,120,1,1,0.857142857142857,74,74,74,2,7,99,8,1,0,4,4,NA,NA,2,0,120,1,1,NA,"1",1,2,5,2
66,2,2,"never_smoker",9,4,2,8,1,0,8,NA,NA,42,2,2,13,66,66,66,2,4,2,8,1,0,8,8,NA,NA,1,13,42,2,5,NA,"1",1,2,52,1
50,2,2,"never_smoker",13,1,2,8,2,0,2,NA,NA,56,2,1,1.42857142857143,50,50,50,2,1,2,8,2,0,2,2,NA,NA,2,1,56,1,4,NA,"1",1,1,52,1
40,2,1,"never_smoker",15,1,1,8,2,NA,5,NA,NA,31,1,1,11.4285714285714,40,40,40,2,1,1,8,2,NA,5,5,NA,NA,2,11,31,1,3,NA,"0",2,1,1,-1
42,1,1,"never_smoker",14,1,1,8,2,NA,8,NA,NA,90,1,2,0.857142857142857,42,42,42,1,1,1,8,2,NA,8,8,NA,NA,2,0,90,2,4,NA,"1",2,1,20,2
56,1,2,"smoker",11,4,2,8,4,NA,9,NA,NA,1,1,1,25,56,56,56,1,4,2,8,4,NA,9,9,NA,NA,2,25,1,1,2,NA,"0",2,2,9,-1
66,1,2,"never_smoker",9,1,1,8,1,0,8,NA,NA,33,1,1,57.1428571428571,66,66,66,1,1,1,8,1,0,8,8,NA,NA,2,57,33,1,6,NA,"1",2,2,10,2
77,1,1,"never_smoker",7,1,2,8,1,0,9,NA,NA,49,1,1,4.28571428571429,77,77,77,1,1,2,8,1,0,9,9,NA,NA,2,4,49,1,3,NA,"0",1,1,9,1
76,2,1,"never_smoker",7,1,1,8,1,0,6,NA,NA,120,2,2,30,76,76,76,2,1,1,8,1,0,6,6,NA,NA,2,30,120,2,2,NA,"0",2,2,5,2
53,2,2,"never_smoker",11,2,1,8,1,NA,5,NA,NA,14,1,2,4.28571428571429,53,53,53,2,2,1,8,1,NA,5,5,NA,NA,2,4,14,2,1,NA,"1",2,2,2,1
40,2,2,"never_smoker",15,1,1,1,2,NA,7,NA,NA,28,2,1,14.2857142857143,40,40,40,2,1,1,1,2,NA,7,7,NA,NA,2,14,28,1,2,NA,"1",2,2,5,-1
39,1,2,"never_smoker",15,1,1,1,2,NA,7,NA,NA,120,2,2,2.85714285714286,39,39,39,1,1,1,1,2,NA,7,7,NA,NA,1,2,120,2,5,NA,"1",2,1,1,-1
84,2,2,"smoker",5,7,3,1,4,0,1,NA,NA,33,2,1,57.1428571428571,84,84,84,2,7,3,1,4,0,1,1,NA,NA,2,57,33,1,5,NA,"1",1,2,7,1
55,1,2,"smoker",11,7,3,1,4,0,5,NA,NA,9998,2,2,12,55,55,55,1,7,3,1,4,0,5,5,NA,NA,1,12,9998,2,2,NA,"1",1,1,5,-1
56,1,4,"never_smoker",11,4,1,1,1,NA,9,NA,NA,42,2,1,21.4285714285714,56,56,56,1,4,1,1,1,NA,9,9,NA,NA,2,21,42,1,3,NA,"0",2,2,12,2
35,2,2,"never_smoker",15,4,2,1,2,NA,6,NA,NA,78,1,1,55,35,35,35,2,4,2,1,2,NA,6,6,NA,NA,1,55,78,1,1,NA,"1",2,1,2,1
49,1,4,"never_smoker",13,4,2,1,2,NA,4,NA,NA,80,1,1,14.2857142857143,49,49,49,1,4,2,1,2,NA,4,4,NA,NA,1,14,80,1,2,NA,"1",1,2,9,2
39,2,4,"never_smoker",15,1,2,1,2,NA,1,NA,NA,2,1,2,100,39,39,39,2,1,2,1,2,NA,1,1,NA,NA,1,100,2,2,2,NA,"0",2,2,9,1
82,2,2,"never_smoker",6,7,2,6,5,NA,8,NA,NA,11,1,2,0.428571428571429,82,82,82,2,7,2,6,5,NA,8,8,NA,NA,2,0,11,2,1,NA,"1",2,2,6,2
51,1,2,"smoker",13,4,2,6,2,0,1,NA,NA,27,1,1,28.5714285714286,51,51,51,1,4,2,6,2,0,1,1,NA,NA,2,28,27,1,4,NA,"1",1,2,0,-1
56,2,4,"never_smoker",11,7,1,6,1,NA,5,NA,NA,6,2,1,14.2857142857143,56,56,56,2,7,1,6,1,NA,5,5,NA,NA,2,14,6,1,3,NA,"1",2,2,9,2
57,2,2,"never_smoker",11,7,3,6,1,0,NA,NA,NA,38,2,1,0.428571428571429,57,57,57,2,7,3,6,1,0,NA,NA,NA,NA,1,0,38,1,5,NA,"0",2,1,6,1
59,2,4,"smoker",11,7,3,6,4,NA,6,NA,NA,12,2,2,2.14285714285714,59,59,59,2,7,3,6,4,NA,6,6,NA,NA,1,2,12,2,2,NA,"1",2,1,3,2
67,1,4,"smoker",9,7,3,6,4,NA,6,NA,NA,105,1,2,26,67,67,67,1,7,3,6,4,NA,6,6,NA,NA,1,26,105,2,6,NA,"0",1,1,8,-1
43,2,2,"never_smoker",13,1,1,6,2,NA,4,NA,NA,43,2,2,17.8571428571429,43,43,43,2,1,1,6,2,NA,4,4,NA,NA,1,17,43,2,4,NA,"1",2,1,3,1
47,1,2,"never_smoker",13,4,3,6,2,0,3,NA,NA,86,2,2,6.71428571428571,47,47,47,1,4,3,6,2,0,3,3,NA,NA,1,6,86,2,3,NA,"1",1,1,1,2
45,2,2,"smoker",13,3,1,6,2,NA,NA,NA,NA,96,1,2,100,45,45,45,2,3,1,6,2,NA,NA,NA,NA,NA,1,100,96,2,1,NA,"0",1,2,0,1
21,2,2,"smoker",19,1,1,6,2,NA,6,NA,NA,52,1,2,14.2857142857143,21,21,21,2,1,1,6,2,NA,6,6,NA,NA,1,14,52,2,4,NA,"1",1,1,6,1
19,1,2,"never_smoker",19,3,3,6,2,NA,5,NA,NA,1,1,1,6,19,19,19,1,3,3,6,2,NA,5,5,NA,NA,1,6,1,1,1,NA,"1",1,1,1,2
57,2,2,"never_smoker",11,3,2,6,2,0,6,NA,NA,11,1,2,22.8571428571429,57,57,57,2,3,2,6,2,0,6,6,NA,NA,1,22,11,2,6,NA,"0",1,2,6,-1
18,1,2,"never_smoker",19,3,99,6,2,NA,5,NA,NA,5,1,1,100,18,18,18,1,3,99,6,2,NA,5,5,NA,NA,1,100,5,1,3,NA,"1",1,1,8,2
17,1,2,"never_smoker",19,4,99,6,2,NA,1,NA,NA,38,1,1,4.28571428571429,17,17,17,1,4,99,6,2,NA,1,1,NA,NA,2,4,38,1,1,NA,"1",2,1,0,1
59,2,1,"never_smoker",11,4,2,6,2,0,8,NA,NA,14,2,2,33,59,59,59,2,4,2,6,2,0,8,8,NA,NA,2,33,14,2,5,NA,"1",2,2,4,-1
58,2,2,"never_smoker",11,7,2,6,2,NA,5,NA,NA,12,2,1,20,58,58,58,2,7,2,6,2,NA,5,5,NA,NA,2,20,12,1,6,NA,"0",2,1,8,2
63,1,2,"smoker",9,7,2,6,1,NA,5,NA,NA,9,2,1,1,63,63,63,1,7,2,6,1,NA,5,5,NA,NA,2,1,9,1,1,NA,"0",2,2,4,2
42,2,2,"never_smoker",14,4,2,6,1,NA,5,NA,NA,47,2,1,3.33333333333333,42,42,42,2,4,2,6,1,NA,5,5,NA,NA,2,3,47,1,1,NA,"1",1,2,7,2
20,1,2,"smoker",19,3,3,6,1,NA,11,NA,NA,27,1,1,4,20,20,20,1,3,3,6,1,NA,11,11,NA,NA,2,4,27,1,4,NA,"1",2,2,4,-1
